/OUTp X,/OUTp Y
0,1.04973035943298
1,1.052600457035628
2,1.055471402251545
3,1.05834347118027
4,1.061216209112822
5,1.064090257691887
6,1.066965133339268
7,1.069841128154886
8,1.072717539865615
9,1.075595499999414
10,1.078474285087609
11,1.081354185285233
12,1.084234755156243
13,1.087116601011606
14,1.089999276695378
15,1.092883063793225
16,1.095766659677632
17,1.09865238438041
18,1.101538932618915
19,1.104426588775947
20,1.107314902490095
21,1.110204486935332
22,1.113094890885799
23,1.115986399317685
24,1.118878307135102
25,1.121771735407779
26,1.124665977719632
27,1.127561320916894
28,1.130457309711902
29,1.133354563605295
30,1.136252626418142
31,1.139151786122092
32,1.14204865359709
33,1.144949716597341
34,1.147851579347694
35,1.150754534255062
36,1.15365812103826
37,1.156562964912732
38,1.15946860472596
39,1.162375330946327
40,1.165282425234136
41,1.168191026317942
42,1.171100414907351
43,1.174010882625534
44,1.176921963990892
45,1.17983428918765
46,1.182747391839168
47,1.185661564226511
48,1.188575470316233
49,1.191491477744945
50,1.194408249584147
51,1.19732607891251
52,1.200244494632405
53,1.203164130853959
54,1.206084515460242
55,1.209005941553384
56,1.211927676239801
57,1.214850872380294
58,1.217774796135906
59,1.220699740554081
60,1.223625228242949
61,1.226551895804176
62,1.229479264618062
63,1.232407627299897
64,1.235325147666193
65,1.238255171744978
66,1.241185864127272
67,1.244117516514905
68,1.247049644556008
69,1.249982885830617
70,1.252916754643669
71,1.255851541988767
72,1.258786498309203
73,1.261722784589777
74,1.264659650203413
75,1.267597385251795
76,1.270535498669835
77,1.273474628437117
78,1.276414282430328
79,1.279354750164527
80,1.282294654499818
81,1.285236400302135
82,1.288178610203514
83,1.291121573576308
84,1.29406479472716
85,1.297008913253737
86,1.299953289241191
87,1.302898644229494
88,1.305843861014451
89,1.308790026936349
90,1.311736481476995
91,1.314683816910097
92,1.317631106933483
93,1.32057927848211
94,1.323527568616422
95,1.32647664645279
96,1.32942312363491
97,1.332372464771382
98,1.335322362031803
99,1.338272961689337
100,1.341223452804166
101,1.344174693105049
102,1.347125991669488
103,1.350077916735402
104,1.353029501496399
105,1.355981925034208
106,1.358934442089469
107,1.361887519637853
108,1.364840436049527
109,1.367794004721402
110,1.370747581799941
111,1.373701662872389
112,1.3766547452228
113,1.379609181627848
114,1.38256368281836
115,1.385518640178521
116,1.388473397679662
117,1.391428689394163
118,1.394384046465881
119,1.39733973002825
120,1.400295035872469
121,1.403251042829944
122,1.406207104372968
123,1.40916347307689
124,1.412119687340327
125,1.415076359713072
126,1.418033045285489
127,1.420990021771681
128,1.423896693711323
129,1.426854048914788
130,1.429811293550022
131,1.432768814731484
132,1.435726146784265
133,1.438683908844428
134,1.441641658125401
135,1.444599661363464
136,1.447557222144168
137,1.45051542523908
138,1.453473636611335
139,1.456432069819527
140,1.459390329948611
141,1.462348951483574
142,1.465307569734217
143,1.468266408105871
144,1.471224141188469
145,1.47418316855614
146,1.47714216015114
147,1.480101368870122
148,1.483060357579849
149,1.486019740405192
150,1.488979076226131
151,1.491938626512204
152,1.494897678178374
153,1.497857389670332
154,1.500817044631915
155,1.503776911667485
156,1.506736539352238
157,1.509696556571808
158,1.512656509170354
159,1.515616671654714
160,1.518573568617461
161,1.521533871387474
162,1.524494102757324
163,1.527454541965352
164,1.530414727885116
165,1.533375299423712
166,1.536335793728368
167,1.539296493898653
168,1.542256666719015
169,1.545217491924767
170,1.54817823512318
171,1.551139182223027
172,1.554099866229252
173,1.557060932078392
174,1.560021911987742
175,1.562983093770493
176,1.565943108132781
177,1.568904402804704
178,1.571865608649411
179,1.574827014199286
180,1.577788150340055
181,1.580749664101221
182,1.583711086609008
183,1.586672706433891
184,1.58963378583004
185,1.592595509298793
186,1.59555714020689
187,1.598518965747251
188,1.601480518837928
189,1.604442444237173
190,1.607404276319955
191,1.610366299984731
192,1.613316563909971
193,1.616278679234877
194,1.619240705580793
195,1.622202920045708
196,1.625164862266388
197,1.628127169838184
198,1.631089385248874
199,1.63405178487035
200,1.637013644369438
201,1.639976133637764
202,1.642938532995801
203,1.645901112223867
204,1.648863422500538
205,1.651826089285679
206,1.654788668042384
207,1.657751421942285
208,1.660713008719281
209,1.663675844782095
210,1.666638585178308
211,1.669601522742503
212,1.672564168306769
213,1.67552719062457
214,1.678490100110378
215,1.681453206274995
216,1.684415748932707
217,1.68737893800276
218,1.690342013075413
219,1.693305284234918
220,1.696268260956919
221,1.699231613340124
222,1.702194850986947
223,1.705158283793271
224,1.708118387965891
225,1.711081900099088
226,1.714045297480195
227,1.717008888497767
228,1.71997218484713
229,1.722935853897782
230,1.725899408963894
231,1.7288631553269
232,1.731826337737739
233,1.734790160606088
234,1.737753867943029
235,1.740717770116599
236,1.743681373414388
237,1.746645351683328
238,1.74960921098299
239,1.752573264829446
240,1.755536112687304
241,1.758500241501039
242,1.761464250605182
243,1.764428453987803
244,1.767392356861979
245,1.770356634318576
246,1.773320791383443
247,1.776285142478455
248,1.779248921383844
249,1.782213345634945
250,1.785177648863581
251,1.788142145891342
252,1.791106341012748
253,1.794070910389663
254,1.797035358189106
255,1.799999999519587
